age,gender,country,account_age_months,subscription_type,monthly_fee,primary_device,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,days_since_last_login,churned,churn_probability,risk_segment
31,Female,France,17,Standard,15.34,Smart TV,318,6,10,21,56,1,0.79108069,High Risk
40,Male,Germany,51,Premium,19.86,Smart TV,274,9,14,31,56,1,0.705055243,High Risk
57,Male,Canada,57,Standard,13.28,Tablet,279,12,7,44,9,0,0.04571858,Low Risk
38,Female,Brazil,55,Premium,19.17,Laptop,386,10,10,93,5,0,0.019663236,Low Risk
33,Female,USA,46,Standard,13.68,Laptop,274,9,12,34,43,0,0.330757021,Medium Risk
62,Female,Germany,14,Basic,8.55,Laptop,123,3,11,96,30,0,0.306708562,Medium Risk
35,Female,Germany,58,Standard,15.6,Mobile,107,5,6,52,34,1,0.683123141,High Risk
64,Male,Spain,51,Standard,16.09,Smart TV,114,2,8,91,45,0,0.664953085,High Risk
41,Male,Germany,30,Basic,9.98,Smart TV,600,19,13,44,41,0,0.056415101,Low Risk
43,Female,Australia,26,Premium,20.01,Laptop,479,8,6,49,15,0,0.171239502,Low Risk
42,Male,Spain,16,Premium,21.79,Tablet,237,8,11,73,14,0,0.069032851,Low Risk
62,Female,Spain,32,Standard,13.73,Tablet,600,16,6,34,43,0,0.281338663,Low Risk
58,Male,France,7,Basic,11.23,Laptop,232,4,2,94,22,0,0.26886853,Low Risk
46,Male,Canada,24,Basic,10.69,Tablet,207,8,14,92,29,0,0.054254293,Low Risk
32,Male,India,43,Standard,15.78,Smart TV,314,11,6,90,31,0,0.205725238,Low Risk
62,Female,USA,1,Premium,21.76,Smart TV,400,15,6,36,48,1,0.739218392,High Risk
18,Female,USA,21,Standard,15.3,Tablet,137,3,4,26,0,0,0.24761542,Low Risk
42,Male,USA,26,Basic,9.44,Smart TV,600,18,3,31,53,1,0.493273445,Medium Risk
24,Female,Mexico,30,Basic,11.57,Tablet,600,11,2,41,39,0,0.413602489,Medium Risk
26,Female,UK,57,Standard,15.25,Mobile,485,11,13,95,18,0,0.011222024,Low Risk
41,Male,Spain,26,Standard,15.53,Smart TV,122,6,5,93,39,1,0.741592678,High Risk
18,Male,Australia,43,Standard,13.1,Tablet,600,19,4,64,16,0,0.02738025,Low Risk
61,Male,UK,35,Premium,19.33,Mobile,600,14,14,33,45,0,0.166306729,Low Risk
25,Male,Mexico,52,Basic,11.59,Laptop,565,15,6,87,16,0,0.013846555,Low Risk
41,Female,Mexico,57,Premium,19.53,Tablet,379,18,3,67,42,0,0.253579303,Low Risk
28,Male,Spain,30,Basic,8.17,Laptop,599,11,11,68,9,0,0.00571016,Low Risk
34,Male,Canada,38,Standard,14.34,Mobile,411,18,1,97,54,0,0.489047922,Medium Risk
25,Male,Spain,39,Basic,9.55,Mobile,74,3,3,34,40,1,0.957493484,Critical Risk
52,Male,USA,23,Basic,10.03,Tablet,290,7,6,54,14,0,0.083963349,Low Risk
52,Other,Australia,36,Standard,16.64,Smart TV,600,14,12,99,15,0,0.009647192,Low Risk
50,Male,Germany,11,Standard,16.53,Smart TV,460,14,1,58,3,0,0.04118172,Low Risk
22,Female,Spain,50,Standard,15.81,Smart TV,460,12,5,49,16,0,0.138045159,Low Risk
59,Male,Germany,14,Standard,14.83,Smart TV,600,17,8,90,39,0,0.050651303,Low Risk
56,Female,UK,12,Standard,13.82,Tablet,337,9,0,52,44,1,0.79852784,High Risk
58,Female,Australia,30,Standard,15.72,Tablet,484,18,0,58,4,0,0.04579144,Low Risk
45,Male,USA,15,Standard,15.68,Smart TV,288,11,10,77,2,0,0.018545752,Low Risk
24,Female,Germany,54,Basic,8.81,Smart TV,160,4,14,44,55,1,0.820933624,Critical Risk
26,Male,Mexico,38,Standard,15.31,Smart TV,600,18,14,88,55,0,0.061104334,Low Risk
25,Male,Brazil,45,Premium,21.01,Mobile,304,8,11,43,42,0,0.510073175,Medium Risk
29,Male,Brazil,58,Standard,16.07,Smart TV,204,4,10,75,12,0,0.060855156,Low Risk
51,Male,France,25,Standard,14.51,Laptop,583,17,10,53,36,0,0.026232022,Low Risk
50,Male,France,3,Basic,10.26,Tablet,241,7,12,63,7,0,0.024751898,Low Risk
40,Male,Canada,3,Premium,19.07,Laptop,600,14,5,57,6,0,0.027674116,Low Risk
41,Male,Mexico,23,Standard,14.89,Tablet,348,10,2,79,36,0,0.325125181,Medium Risk
54,Female,Spain,46,Standard,14.09,Laptop,600,12,14,93,28,0,0.03515453,Low Risk
52,Male,India,50,Premium,18.19,Smart TV,546,10,3,81,21,0,0.065724438,Low Risk
61,Male,Spain,10,Standard,15.1,Tablet,600,14,9,57,46,0,0.1055059,Low Risk
57,Female,Germany,26,Standard,15.16,Laptop,600,11,6,71,39,0,0.278987261,Low Risk
39,Male,France,33,Basic,8.58,Smart TV,91,3,8,34,27,0,0.525640201,Medium Risk
44,Male,UK,29,Standard,13.16,Tablet,186,4,3,21,48,1,0.94999916,Critical Risk
52,Male,USA,55,Standard,13.06,Smart TV,40,2,10,97,45,1,0.696110349,High Risk
18,Female,Spain,55,Premium,18.9,Tablet,557,13,5,64,37,1,0.493124036,Medium Risk
52,Male,France,1,Premium,18.36,Tablet,86,2,3,36,58,1,0.981971458,Critical Risk
54,Female,USA,20,Basic,10.26,Laptop,600,13,3,37,58,1,0.715427639,High Risk
64,Male,USA,8,Standard,16.93,Tablet,420,19,12,81,24,0,0.006255722,Low Risk
31,Male,Brazil,40,Standard,13.19,Laptop,398,18,6,47,14,0,0.025568974,Low Risk
20,Male,USA,28,Premium,20.71,Laptop,464,19,1,57,18,0,0.03716025,Low Risk
18,Other,UK,31,Premium,21.31,Mobile,251,5,4,75,25,1,0.281307977,Low Risk
22,Female,Spain,15,Standard,14.88,Smart TV,224,5,5,66,21,0,0.140910294,Low Risk
43,Male,Spain,12,Premium,18.47,Tablet,600,17,10,98,6,0,0.003142659,Low Risk
31,Male,Brazil,55,Premium,18.82,Laptop,422,13,13,50,14,0,0.032581998,Low Risk
56,Female,India,35,Standard,14.31,Laptop,307,9,3,51,18,0,0.150356729,Low Risk
44,Male,USA,52,Basic,10.15,Laptop,511,10,0,23,49,1,0.745742094,High Risk
26,Female,India,5,Basic,8.88,Mobile,298,9,6,68,34,0,0.121919266,Low Risk
32,Female,Mexico,53,Standard,16.51,Smart TV,441,15,7,70,29,0,0.02832754,Low Risk
32,Male,Australia,1,Premium,21.98,Mobile,396,13,0,90,54,1,0.764883407,High Risk
43,Male,Mexico,30,Basic,9.56,Mobile,493,11,12,98,24,0,0.008936067,Low Risk
59,Female,Spain,35,Premium,20.08,Mobile,304,9,14,53,33,0,0.174796261,Low Risk
30,Female,France,54,Premium,19.99,Smart TV,394,17,2,68,10,0,0.055780435,Low Risk
49,Female,Brazil,45,Basic,11.87,Mobile,230,4,2,37,21,1,0.592053127,Medium Risk
56,Male,Spain,3,Basic,9.12,Mobile,30,1,2,49,27,1,0.824582739,Critical Risk
49,Female,Canada,19,Basic,8.7,Tablet,274,5,4,48,40,1,0.892541239,Critical Risk
21,Male,India,5,Standard,14.7,Tablet,419,10,1,57,54,1,0.806655368,Critical Risk
47,Male,Brazil,13,Basic,9.18,Smart TV,435,8,7,39,31,1,0.352035902,Medium Risk
54,Female,Brazil,5,Premium,18.19,Mobile,328,12,5,64,42,0,0.354353992,Medium Risk
40,Female,Australia,40,Basic,10.28,Laptop,239,8,12,36,22,0,0.095016118,Low Risk
56,Male,USA,5,Basic,9.6,Smart TV,135,4,14,25,18,0,0.262238307,Low Risk
62,Female,Australia,46,Basic,9.34,Smart TV,214,8,12,25,14,0,0.114113719,Low Risk
32,Female,USA,38,Standard,16.73,Mobile,519,14,3,39,13,0,0.082277217,Low Risk
60,Male,Mexico,50,Standard,16.47,Laptop,600,19,3,26,12,1,0.085624532,Low Risk
46,Female,Canada,4,Basic,11.07,Smart TV,600,14,8,40,23,0,0.01050114,Low Risk
53,Female,Germany,58,Premium,21.53,Laptop,322,9,9,76,59,1,0.665833706,High Risk
30,Female,Mexico,47,Premium,20.81,Tablet,247,5,0,54,5,1,0.48436956,Medium Risk
49,Female,France,14,Premium,19.02,Mobile,302,6,4,83,50,1,0.749884579,High Risk
24,Male,USA,16,Standard,15.21,Mobile,306,11,6,20,33,0,0.379753813,Medium Risk
39,Female,USA,1,Basic,11.95,Tablet,64,2,4,57,30,1,0.83305614,Critical Risk
45,Male,UK,10,Standard,16.42,Laptop,251,7,14,55,3,0,0.038057789,Low Risk
19,Male,Spain,49,Basic,8.97,Mobile,600,17,4,28,45,0,0.343000383,Medium Risk
59,Female,Spain,39,Standard,14.42,Mobile,478,17,8,39,42,0,0.232073249,Low Risk
62,Female,India,18,Basic,10.86,Smart TV,285,14,6,38,7,0,0.024922522,Low Risk
23,Male,India,16,Standard,13.2,Tablet,271,9,6,48,29,0,0.222156403,Low Risk
45,Male,Germany,41,Premium,18.15,Laptop,600,13,2,65,58,1,0.731214614,High Risk
45,Female,India,46,Standard,16.84,Tablet,113,3,6,79,47,1,0.897135641,Critical Risk
61,Male,Germany,31,Basic,10.26,Smart TV,34,1,7,56,45,1,0.926670392,Critical Risk
61,Male,Spain,12,Basic,11.23,Smart TV,284,8,13,71,4,0,0.016718198,Low Risk
37,Male,Germany,16,Basic,10.22,Tablet,486,14,0,93,41,0,0.12784315,Low Risk
47,Female,UK,24,Basic,10.03,Laptop,409,17,0,43,30,0,0.133702756,Low Risk
28,Male,Brazil,21,Standard,15.49,Mobile,30,1,5,73,7,0,0.292539164,Low Risk
45,Female,India,59,Basic,11.13,Tablet,163,3,11,20,25,0,0.33093527,Medium Risk
42,Female,USA,49,Basic,9.01,Smart TV,583,10,5,71,56,1,0.68140498,High Risk
56,Female,Spain,55,Basic,10.72,Mobile,148,5,9,62,12,0,0.088038295,Low Risk
50,Male,Germany,16,Basic,11.77,Laptop,141,4,6,85,45,0,0.770490458,High Risk
18,Male,Australia,25,Basic,11.59,Smart TV,194,4,3,60,51,1,0.897562745,Critical Risk
44,Male,Mexico,21,Basic,11.24,Mobile,600,16,10,39,33,0,0.062176894,Low Risk
30,Male,USA,4,Basic,8.33,Tablet,278,7,7,30,45,1,0.841667299,Critical Risk
58,Female,Australia,55,Premium,21.19,Tablet,374,12,5,77,15,0,0.039317584,Low Risk
20,Male,France,38,Standard,13.81,Mobile,192,6,5,69,47,1,0.863686954,Critical Risk
56,Female,Mexico,24,Basic,8.77,Mobile,161,5,7,85,54,1,0.766498676,High Risk
23,Female,Germany,6,Basic,9.75,Smart TV,506,19,7,44,39,0,0.16038399,Low Risk
25,Male,India,41,Standard,14.21,Laptop,119,5,9,54,19,0,0.149178305,Low Risk
44,Male,Brazil,7,Premium,21.84,Mobile,503,9,12,85,34,0,0.064658806,Low Risk
26,Female,Mexico,4,Basic,8.8,Smart TV,573,17,11,82,21,0,0.00367442,Low Risk
54,Female,Australia,36,Standard,15.15,Smart TV,600,14,12,48,55,0,0.379831285,Medium Risk
50,Other,Mexico,50,Premium,21.24,Mobile,234,10,6,62,39,1,0.682975371,High Risk
59,Male,India,44,Standard,14.78,Laptop,600,15,13,90,34,0,0.02137507,Low Risk
61,Female,France,31,Premium,19.25,Laptop,167,3,12,97,7,0,0.079632664,Low Risk
41,Male,Mexico,25,Standard,14.85,Mobile,479,10,1,32,34,0,0.501445078,Medium Risk
32,Male,USA,14,Basic,10.51,Tablet,127,4,5,98,45,1,0.764316752,High Risk
49,Male,Germany,36,Standard,15.23,Laptop,600,17,8,22,6,0,0.033171634,Low Risk
49,Male,Brazil,52,Basic,8.02,Tablet,407,7,14,74,33,0,0.109732341,Low Risk
41,Female,Mexico,43,Standard,15.34,Mobile,42,1,5,95,49,1,0.920163278,Critical Risk
58,Male,India,44,Standard,13.81,Laptop,118,2,4,21,3,0,0.290972881,Low Risk
29,Female,Brazil,54,Standard,13.11,Mobile,355,16,5,61,5,0,0.011860404,Low Risk
56,Female,Brazil,5,Basic,9.43,Tablet,536,13,7,26,48,1,0.748080007,High Risk
19,Female,Australia,12,Standard,14.38,Mobile,600,15,0,23,59,1,0.777374903,High Risk
20,Male,Brazil,4,Standard,14.48,Mobile,287,11,11,52,51,1,0.680789076,High Risk
54,Female,Australia,30,Standard,16.64,Laptop,428,9,2,72,48,1,0.665907401,High Risk
34,Male,Germany,51,Premium,20.22,Mobile,471,14,6,83,43,0,0.137224418,Low Risk
19,Female,USA,29,Standard,13.11,Tablet,355,13,9,59,25,0,0.032093457,Low Risk
19,Female,France,29,Standard,15.87,Tablet,525,13,9,87,21,0,0.024347743,Low Risk
45,Male,Mexico,58,Standard,14.5,Tablet,311,14,2,57,15,0,0.074707144,Low Risk
40,Male,Spain,22,Basic,10.42,Mobile,311,9,12,26,21,0,0.062633989,Low Risk
54,Female,India,36,Standard,15.29,Mobile,600,14,5,78,26,0,0.046396461,Low Risk
49,Female,Australia,26,Basic,8.76,Tablet,408,14,7,34,1,0,0.023599829,Low Risk
50,Male,Canada,22,Premium,18.5,Smart TV,600,17,14,85,17,0,0.004314621,Low Risk
18,Female,UK,1,Premium,20.19,Laptop,270,11,14,96,13,0,0.054219052,Low Risk
36,Male,India,33,Standard,15.18,Mobile,106,4,2,44,35,1,0.83864369,Critical Risk
19,Female,UK,39,Basic,10.12,Smart TV,234,10,9,67,43,0,0.233365595,Low Risk
61,Male,Canada,35,Premium,21.34,Smart TV,144,4,9,92,37,1,0.427066333,Medium Risk
43,Female,Spain,26,Basic,8.08,Laptop,600,15,2,37,20,0,0.043469059,Low Risk
49,Female,Spain,33,Standard,15.04,Laptop,59,2,2,41,19,1,0.814627267,Critical Risk
23,Female,Germany,27,Basic,10.31,Tablet,204,7,0,76,59,1,0.85962132,Critical Risk
49,Female,Mexico,9,Standard,14.38,Laptop,600,18,12,93,22,0,0.004477123,Low Risk
21,Male,USA,8,Standard,15.21,Smart TV,600,18,12,65,40,0,0.087840271,Low Risk
28,Male,Mexico,42,Premium,19.44,Laptop,504,16,1,41,44,1,0.781481676,High Risk
34,Male,Canada,50,Basic,10.92,Mobile,132,3,0,50,48,1,0.938718392,Critical Risk
55,Male,Brazil,46,Basic,10.86,Tablet,286,14,13,34,21,0,0.063733864,Low Risk
41,Male,Spain,3,Premium,19.97,Laptop,600,17,12,24,45,0,0.356917578,Medium Risk
22,Female,France,26,Basic,10.51,Mobile,275,6,6,44,14,0,0.105814011,Low Risk
51,Female,India,8,Standard,16.52,Tablet,477,17,0,32,5,0,0.107983013,Low Risk
23,Male,Germany,15,Standard,16.51,Tablet,480,14,12,54,42,0,0.074346164,Low Risk
39,Male,Australia,8,Basic,10.3,Mobile,600,11,14,25,45,0,0.28464793,Low Risk
28,Male,India,2,Standard,14.36,Tablet,68,2,0,83,2,0,0.143508383,Low Risk
33,Female,France,30,Basic,11.79,Mobile,598,19,12,44,26,0,0.021155113,Low Risk
50,Female,Australia,44,Standard,16.81,Tablet,205,4,13,70,13,0,0.063505039,Low Risk
26,Male,Brazil,37,Standard,13.52,Laptop,219,5,10,42,15,0,0.105715758,Low Risk
23,Female,Spain,27,Standard,14.16,Mobile,192,5,1,98,26,0,0.416943457,Medium Risk
33,Male,Germany,27,Standard,13.42,Smart TV,100,2,3,84,43,1,0.851331401,Critical Risk
46,Male,Mexico,54,Premium,19.53,Mobile,390,7,1,78,40,1,0.694135406,High Risk
20,Male,Mexico,6,Standard,16.67,Laptop,211,5,7,22,31,1,0.811616439,Critical Risk
37,Female,France,9,Standard,15.21,Mobile,249,10,8,93,18,0,0.030784858,Low Risk
53,Male,France,54,Standard,15.19,Laptop,318,7,1,57,23,0,0.300625681,Medium Risk
36,Male,Spain,29,Premium,21.11,Tablet,224,5,3,57,48,1,0.9397839,Critical Risk
43,Male,Spain,49,Basic,11.41,Laptop,80,2,3,80,14,1,0.409591647,Medium Risk
20,Male,USA,57,Premium,21.75,Smart TV,33,1,2,44,25,1,0.885224507,Critical Risk
36,Female,Spain,19,Premium,19.08,Laptop,129,4,1,58,42,1,0.965025233,Critical Risk
37,Male,USA,24,Basic,10.11,Smart TV,600,12,5,30,8,0,0.036725624,Low Risk
49,Female,Germany,20,Basic,8.76,Mobile,100,2,2,96,58,1,0.904515553,Critical Risk
24,Male,Canada,32,Standard,16.17,Mobile,600,17,13,45,19,0,0.02700421,Low Risk
58,Male,India,54,Basic,12,Tablet,454,10,6,95,59,1,0.592498095,Medium Risk
50,Male,USA,46,Premium,21.2,Laptop,295,13,9,70,15,0,0.064999171,Low Risk
57,Male,India,57,Basic,11.12,Laptop,206,7,1,96,49,1,0.777738959,High Risk
56,Male,Canada,58,Standard,14.84,Laptop,306,15,12,35,56,1,0.590131136,Medium Risk
35,Male,Brazil,35,Premium,20.61,Tablet,371,14,10,79,50,0,0.393461231,Medium Risk
57,Female,Spain,51,Standard,13.97,Tablet,55,2,0,92,40,1,0.892482054,Critical Risk
18,Female,USA,4,Standard,15.51,Tablet,460,10,11,97,5,0,0.052729324,Low Risk
28,Female,Mexico,13,Premium,20.26,Laptop,600,14,7,74,31,0,0.056608582,Low Risk
45,Male,Mexico,5,Standard,14.7,Mobile,441,14,3,25,29,1,0.493687572,Medium Risk
42,Male,Mexico,37,Premium,21,Mobile,600,13,5,41,23,0,0.080059808,Low Risk
40,Male,France,51,Standard,13.41,Tablet,64,3,5,75,38,1,0.611726992,High Risk
48,Female,Germany,58,Basic,8.6,Smart TV,84,2,11,74,33,0,0.257681841,Low Risk
47,Other,Mexico,11,Standard,15.82,Mobile,52,1,5,96,24,0,0.328203648,Medium Risk
59,Female,India,16,Premium,20.78,Tablet,600,18,12,92,20,0,0.007908402,Low Risk
52,Male,France,27,Premium,19.11,Tablet,353,15,10,53,35,0,0.07401467,Low Risk
24,Male,Mexico,48,Basic,8.87,Mobile,318,10,1,91,0,0,0.060752547,Low Risk
33,Male,Spain,19,Standard,16.06,Smart TV,319,13,12,41,51,0,0.317965028,Medium Risk
43,Male,India,26,Standard,15,Mobile,455,8,12,60,12,1,0.16245288,Low Risk
19,Male,Australia,40,Basic,9.03,Tablet,267,6,5,75,7,0,0.125332247,Low Risk
18,Male,UK,35,Basic,10.26,Laptop,481,12,9,84,36,0,0.08553812,Low Risk
29,Male,France,3,Premium,20.85,Mobile,101,2,4,70,28,1,0.671109457,High Risk
22,Male,India,29,Basic,11.77,Tablet,524,13,1,25,6,0,0.076532753,Low Risk
54,Male,Spain,21,Basic,8.97,Tablet,85,3,5,55,0,0,0.175578168,Low Risk
49,Female,Brazil,32,Premium,18.31,Laptop,600,17,11,83,55,0,0.123571375,Low Risk
26,Male,France,22,Premium,21.75,Smart TV,277,7,3,30,29,1,0.737066664,High Risk
58,Male,USA,4,Standard,14.04,Tablet,434,15,7,60,43,1,0.465904577,Medium Risk
52,Female,Australia,16,Basic,9.77,Mobile,219,10,5,83,29,0,0.100330717,Low Risk
36,Female,UK,1,Premium,18.84,Mobile,254,6,11,42,57,1,0.791166953,High Risk
33,Male,USA,34,Premium,18.62,Smart TV,600,16,1,66,26,0,0.084436491,Low Risk
20,Female,Brazil,28,Premium,20.15,Tablet,33,1,6,25,54,1,0.975201959,Critical Risk
37,Male,France,56,Standard,15.59,Mobile,189,5,11,27,15,0,0.254886989,Low Risk
41,Male,France,11,Basic,9.23,Smart TV,570,10,2,27,46,1,0.824546083,Critical Risk
50,Male,Brazil,3,Basic,8.62,Tablet,600,15,2,75,32,0,0.057578697,Low Risk
41,Male,Mexico,46,Premium,20.8,Mobile,102,5,4,22,42,1,0.953936224,Critical Risk
28,Female,France,41,Standard,15.95,Smart TV,600,12,12,95,2,0,0.01214718,Low Risk
25,Male,UK,37,Standard,13.16,Laptop,437,19,2,41,6,0,0.031783472,Low Risk
53,Male,Canada,10,Standard,15.13,Laptop,118,4,14,71,13,0,0.110032849,Low Risk
55,Female,India,16,Standard,13.37,Laptop,431,11,10,29,53,1,0.563545799,Medium Risk
57,Male,USA,28,Premium,20.23,Laptop,119,4,4,23,34,1,0.878552127,Critical Risk
37,Female,USA,29,Basic,10.19,Mobile,600,14,3,43,13,0,0.055183467,Low Risk
52,Male,Brazil,52,Standard,15.08,Smart TV,600,19,7,37,32,0,0.133066045,Low Risk
42,Male,Canada,22,Basic,8.13,Mobile,269,10,4,21,12,1,0.201275066,Low Risk
